,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TableS5C - Binarized Drug IC50s, refers to figure 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(S)ensitive,,(R)esistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Screened Compounds:,Erlotinib,Rapamycin,Sunitinib,PHA-665752,MG-132,Paclitaxel,Cyclopamine,AZ628,Sorafenib,VX-680,Imatinib,NVP-TAE684,Crizotinib,AZD-0530,S-Trityl-L-cysteine,Z-LLNle-CHO,Dasatinib,GNF-2,CGP-60474,CGP-082996,A-770041,WH-4-023,WZ-1-84,BI-2536,BMS-536924,BMS-509744,CMK,Pyrimethamine,JW-7-52-1,A-443654,GW843682X,MS-275,Parthenolide,KIN001-135,TGX221,Bortezomib,XMD8-85,Roscovitine,Salubrinal,Lapatinib,GSK269962A,Doxorubicin,Etoposide,Gemcitabine,Mitomycin C,Vinorelbine,NSC-87877,Bicalutamide,QS11,CP466722,Midostaurin,CHIR-99021,AP-24534,AZD6482,JNK-9L,PF-562271,HG-6-64-1,JQ1,JQ12,DMOG,FTI-277,OSU-03012,Shikonin,AKT inhibitor VIII,Embelin,FH535,PAC-1,IPA-3,GSK-650394,BAY 61-3606,5-Fluorouracil,Thapsigargin,Obatoclax Mesylate,BMS-754807,OSI-906,Bexarotene,Bleomycin,LFM-A13,GW-2580,AUY922,Phenformin,Bryostatin 1,Pazopanib,LAQ824,Epothilone B,GSK-1904529A,BMS-345541,Tipifarnib,BMS-708163,Ruxolitinib,AS601245,SB-715992,TL-2-105,AT-7519,TAK-715,BX-912,ZSTK474,AS605240,Genentech Cpd 10,GSK1070916,KIN001-102,LY317615,GSK429286A,FMK,QL-XII-47,CAL-101,UNC0638,XL-184,WZ3105,XMD14-99,AC220,CP724714,JW-7-24-1,NPK76-II-72-1,STF-62247,NG-25,TL-1-85,VX-11e,FR-180204,Tubastatin A,"Zibotentan, ZD4054",YM155,NSC-207895,VNLG/124,AR-42,CUDC-101,"PXD101, Belinostat",I-BET-762,CAY10603,ABT-869,BIX02189,CH5424802,EKB-569,GSK2126458,KIN001-236,KIN001-244,KIN001-055,KIN001-260,KIN001-266,Masitinib,MP470,MPS-1-IN-1,NVP-BHG712,OSI-930,OSI-027,CX-5461,PHA-793887,PI-103,PIK-93,SB52334,TPCA-1,TG101348,XL-880,Y-39983,YM201636,AV-951,GSK690693,SNX-2112,QL-XI-92,XMD13-2,QL-X-138,XMD15-27,T0901317,EX-527,THZ-2-49,KIN001-270,THZ-2-102-1,AICAR,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,ATRA,Gefitinib,ABT-263,Vorinostat,Nilotinib,RDEA119,CI-1040,Temsirolimus,Olaparib,ABT-888,Bosutinib,Lenalidomide,Axitinib,AZD7762,GW 441756,CEP-701,SB 216763,17-AAG,VX-702,AMG-706,KU-55933,Elesclomol,Afatinib,Vismodegib,PLX4720,BX-795,NU-7441,SL 0101-1,BIRB 0796,JNK Inhibitor VIII,681640,Nutlin-3a,PD-173074,ZM-447439,RO-3306,MK-2206,PD-0332991,NVP-BEZ235,GDC0941,AZD8055,PD-0325901,SB590885,AZD6244,AZD6482,CCT007093,EHT 1864,BMS-708163,BMS-536924,Cetuximab,PF-4708671,JNJ-26854165,HG-5-113-01,HG-5-88-01,TW 37,XMD11-85h,ZG-10,XMD8-92,QL-VIII-58,CCT018159,AG-014699,GSK269962A,SB-505124,Tamoxifen,QL-XII-61,JQ1,PFI-1,IOX2,UNC0638,YK 4-279,CHIR-99021,(5Z)-7-Oxozeaenol,piperlongumine,FK866,BMN-673,rTRAIL,UNC1215,SGC0946,XAV 939,PLX4720 (rescreen),Trametinib,Dabrafenib,Temozolomide,Afatinib (rescreen),Bleomycin (50 uM),SN-38,Olaparib,AZD6244,Bicalutamide,RDEA119 (rescreen),GDC0941 (rescreen),MLN4924 
,"Discretisation 
Threshold (log IC50)/
Cell-Lines",1.5671,-3.6395,0.50064,1.9064,-2.0053,-5.6772,3.4712,-0.034145,0.61159,-0.59242,2.0495,-1.1256,1.2531,0.96253,-0.71324,-0.60881,-0.28739,1.613,-3.6524,1.202,1.8731,0.88193,2.6003,-4.0077,-0.40222,1.5906,0.35105,1.5774,-4.1814,-2.3385,-4.9006,-1.2652,1.2425,3.0676,2.5805,-7.6275,1.207,2.6035,2.056,1.6257,0.35074,-3.9565,-1.2198,-5.9903,-2.9647,-5.9536,3.9149,1.8801,1.3074,0.91394,-1.6842,2.0114,-1.3235,0.71712,-1.4101,0.49307,-1.0384,-1.898,-0.91746,4.4041,1.1367,0.47889,-1.4095,0.96012,1.5946,0.56208,0.29904,1.704,1.0119,0.21279,1.1236,-6.1632,-3.1448,-1.1641,0.50445,2.0167,-1.4805,3.6673,4.5004,-4.7212,5.2789,-3.9017,1.6529,-4.1809,-7.4389,1.3827,1.8541,-0.31364,3.9907,3.2715,0.8995,-4.6156,2.451,-1.7295,2.5463,0.74305,-1.0205,1.1342,0.33153,0.43383,0.75694,1.0593,3.4721,4.102,-1.0189,3.0467,1.3874,1.1741,-2.1998,3.3571,1.3162,3.257,-0.10754,0.47397,3.3769,1.0297,1.3253,1.0031,3.832,3.8933,4.8219,-6.0265,1.8796,2.9403,-2.3664,-2.4009,-1.8784,2.0537,-1.1523,1.6449,2.7699,2.9319,-0.47851,-5.2594,3.0484,1.9164,2.6822,3.9071,2.2663,2.263,2.178,1.8522,1.1748,2.7919,-2.2484,3.6663,-0.37616,-2.302,1.1468,2.7263,0.988,0.49833,-1.2725,4.0613,0.58406,-0.39743,3.2864,-3.6872,3.4059,1.5681,-0.66859,3.6704,3.2298,4.6025,-0.93204,3.7318,-4.7053,6.1928,-6.584,-5.9201,1.3801,-1.9516,-6.897,-2.4743,2.5611,-0.05346,0.37896,-0.54854,1.6795,-0.78749,0.63883,-3.8947,2.2434,3.0134,-0.14537,2.9855,0.41918,-2.2742,1.2426,-2.4969,3.2994,-3.2679,1.9488,1.7167,2.5527,-5.3392,-0.22156,3.2741,2.3691,0.37752,1.0699,3.5531,3.1334,3.4725,0.63688,2.8063,1.3686,0.56209,2.0677,-0.13691,-0.42572,-3.9866,-0.8342,-1.2703,-2.7331,2.5695,1.2062,0.72738,3.1306,2.4876,2.4476,0.67454,5.144,2.6236,1.5335,0.40836,1.8792,-1.9388,2.5492,0.056143,1.7833,-3.0651,1.6851,2.1082,0.51383,3.0777,2.7296,3.2632,1.3512,1.2307,-0.78038,1.7105,0.030235,2.2151,-0.60596,0.65044,-7.1803,-0.082745,-1.338,1.6932,1.0076,2.2288,2.7717,-2.1451,1.9424,4.6302,2.1291,0.18957,-6.559,2.354,-0.22378,3.5949,-0.30417,-0.76788,-1.8842
,A253,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,S,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,R,S,R,R,R,R,R,R,R 
,BB30-HNC,S,R,R,R,R,S,S,R,R,S,R,R,R,S,R,R,S,R,R,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,S,S,R,S,R,R,S,R,R,R,R,R,S,R,R,S,R,R,S,R,S,S,R,R,R,R,S,R,,R,S,R,R,R,S,R,R,S,R,R,R,R,S,R,R,S,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,S,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,R,R,S,S,R,R,R,R,R,S,S,S,S,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,S,R,R,S,R,S,R,R,R,S,S,R,R,R,R,S,,S,R,R,,,R,,,,,S,R,,,,,,,,,,,,,,R,R,R,R,S,R,S,,R,S,S,R,S,S,R,,, 
,BB49-HNC,R,R,R,R,R,R,R,S,R,R,S,R,R,R,R,R,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,S,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,S,S,R,R,S,S,R,R,R,,,R,,,,,R,R,S,R,S,,R,R,R,R,R,R,S,S,R,R,S,R,R,R,R,S,S,R,R,R,R,R,S,R,S,S,R 
,BHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,S,S,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,S,R,S,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,,,,,,,,,,R,,,R,,,,,,,,,,,,R,,R,R,,,,R,R,R,S,R,S,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,S,R,R,,,R,,,,,R,R,R,R,R,,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R 
