"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"697",-1.78378,-1.12887,1.87989,-3.09491,-2.86235,0.17174,-2.00036,2.17485,-1.38834,-0.66436,2.56272
"5637",-1.05653,2.69388,-1.5309,0.9668,1.73393,1.91893,0.98417,-0.50974,2.77833,1.17729,-0.25494
"201T",1.22412,2.08363,-2.60726,2.20416,0.84126,0.16585,2.1383,-0.18216,2.30928,1.12888,-0.23603
"22RV1",0.91445,-1.36554,0.87955,-1.29487,-0.97017,-1.57537,-0.12424,-0.76686,-1.00879,-3.87884,1.26294
"23132-87",-1.75114,-3.73004,0.21353,1.62622,-1.24639,-0.92349,1.7627,-0.52973,0.35311,-1.98801,-1.82419
"42-MG-BA",3.9584,2.82158,-0.69279,0.14429,0.35144,-0.03071,-6.30349,3.76439,0.12664,2.09399,-1.25711
"451Lu",-0.65466,-0.48879,0.64627,0.78998,0.12243,-0.34058,0.07057,0.01757,-0.78768,2.7475,1.47318
"639-V",0.6544,-0.78187,-2.19885,-0.66054,1.12723,1.44176,-0.30083,2.59851,0.22824,0.04731,3.07746
"647-V",0.42261,1.62898,-0.70956,3.06727,1.81539,1.95153,3.32884,-1.66792,1.08929,0.02184,3.01193
"769-P",0.06003,-0.11583,-2.2821,3.27824,1.89352,-1.1638,2.03335,-2.86444,-0.68044,1.89204,0.84079
"786-0",1.35266,1.97642,-1.43717,-0.54427,0.69449,-0.59232,-0.29379,-1.85604,1.29548,0.00742,0.84683
"8-MG-BA",0.46769,1.29027,1.02482,0.46078,-0.53958,-0.83167,-0.75444,2.12294,0.16455,1.4934,1.60866
"8305C",2.80897,2.5975,-1.54692,-0.17247,1.44016,1.60166,-2.83079,-1.66294,1.9016,-0.24273,-0.34677
"8505C",1.31869,1.832,-0.40827,0.92492,2.29266,0.71826,0.09658,-1.78289,0.57905,0.82951,1.04313
"A101D",1.52303,1.23813,0.20768,-1.19503,0.36458,1.62105,-1.33536,2.42311,2.29877,2.88601,-0.28226
"A172",1.79574,2.3069,-3.29016,-0.16431,0.32086,-1.40512,-1.70434,1.35876,-0.42237,1.7741,1.19812
"A204",1.54848,-0.02459,0.96333,-2.11531,-0.38919,0.71222,-0.36261,3.70059,-1.25813,-0.16053,-0.3965
"A2058",0.45259,-0.0679,0.41746,0.76137,-0.50835,0.30609,0.36784,-1.67991,-0.44729,4.7165,1.88937
"A253",0.08043,1.1943,0.37108,0.71948,0.63037,0.56317,-0.41127,1.29239,-0.58592,-0.45329,-1.83363
"A2780",0.84162,-2.00936,0.84935,-1.41944,-0.95245,-0.71317,0.81664,1.5837,-1.74979,0.31661,2.50561
"A3-KAW",-1.78281,-1.69679,1.87148,2.50448,-1.17934,0.27478,1.7009,-1.45047,-1.44575,-1.54258,4.34851
"A375",0.90251,0.79844,-0.75584,-0.67102,-0.07812,0.79341,-1.69285,4.62539,0.41505,3.50533,-2.71409
"A388",0.94095,2.01413,-0.90697,-0.98383,1.25651,1.30003,2.06085,0.76473,1.99501,0.75586,-4.20741
"A4-Fuk",-1.40171,-1.68193,1.88484,-1.97524,-1.54575,1.50482,1.11469,-0.62216,-0.26834,1.42876,0.08494
"A427",0.05505,-0.68904,-0.13644,-0.59388,-0.02497,-0.77533,-0.56362,-0.85164,0.06016,-0.40825,0.896
"A431",-0.93295,-0.67292,0.12882,0.7938,1.02625,1.01871,4.61177,0.79494,1.12146,-1.38629,0.93837
"A498",1.71205,1.67414,-6.29622,1.58444,0.43865,0.44978,-1.50649,-2.07122,1.13774,1.37006,-1.76933
"A549",0.98822,-1.25646,-3.09779,2.3623,1.04946,-0.42981,0.39339,0.78855,0.92397,1.00465,-0.93978
"A673",-0.17474,-0.38837,1.12871,-0.94132,-0.36577,-1.13828,-2.12507,2.06577,-1.20288,-0.39151,4.89673
"A704",1.82607,2.42633,-2.68207,0.5192,3.12572,-0.73374,-0.33747,0.28646,2.50664,3.404,-0.81367
"ABC-1",-0.70437,-1.16608,0.01757,1.18542,0.20974,-1.50537,1.13366,0.35546,-1.28036,-0.72927,5.45584
"ACHN",2.1284,0.02667,-2.42869,2.22303,-0.04178,0.6898,0.43765,-0.15113,0.50809,2.67751,-1.68214
"AGS",-0.29302,-0.22749,-2.89645,0.64206,0.91969,0.37287,3.45005,-0.03941,-0.21744,-1.07458,-0.70536
"ALL-PO",-3.27156,-0.66242,1.97555,-0.43243,-1.75881,1.50175,-0.6023,0.16248,-0.66949,1.14729,0.56226
"ALL-SIL",-2.79885,-4.32206,2.5072,-1.19678,-0.80532,0.46065,-1.73069,0.66461,-1.28006,0.64484,-0.96723
"AM-38",0.88523,-0.1214,-1.26198,0.10657,0.03461,-0.24071,-1.23513,0.60775,-0.18956,1.71247,2.02432
"AMO-1",-0.07564,0.32687,2.112,-0.59957,-1.97499,2.81553,0.86454,-1.36418,0.65593,0.93193,1.20306
"AN3-CA",-0.87148,-1.59388,1.30447,-1.00575,-0.46821,-1.91908,1.07151,2.31507,-1.68736,-0.32571,-0.36153
"ARH-77",-1.24892,0.06707,3.09876,-1.12957,-3.15806,4.30638,-1.96967,-1.31015,1.4689,-0.21591,2.74219
"ASH-3",0.72388,2.48412,-2.69922,0.35348,1.19017,1.48643,-3.25984,-0.31626,2.1266,-0.29553,-1.10879
"AsPC-1",1.30407,3.02682,-1.05778,-0.57513,2.16575,-0.02391,1.14756,-1.98326,1.42271,-1.04456,-3.84787
"ATN-1",-1.09582,-2.79063,2.86932,-2.73466,-0.29344,2.76929,-0.80549,-1.09059,1.94997,-0.50402,2.68928
"AU565",-1.58975,0.18378,0.25125,0.44065,-0.15754,-2.396,2.48235,0.42121,-1.06063,-1.41819,-2.68579
"BALL-1",-0.00816,-0.4533,1.94711,-4.04196,-2.51457,2.23524,-1.18327,-0.62355,-0.35009,-2.77157,3.32144
"BB30-HNC",0.74857,0.25135,-1.24355,-1.257,1.28683,1.33006,-0.54139,-0.73824,2.2131,-1.80153,-4.02521
"BB49-HNC",2.18507,0.73737,-2.24984,1.93761,0.5682,-0.5066,-3.06346,0.68587,3.43405,0.54226,-2.38022
"BB65-RCC",1.23105,0.8806,-2.16838,1.63541,1.35391,-0.52011,-1.10488,-2.84617,2.62157,-0.40029,-2.13933
"BC-1",-0.33631,-1.20599,1.13562,-0.6697,-1.20164,1.4619,-0.67744,-0.21126,0.34299,0.62724,-0.1351
"BCPAP",1.96686,4.93874,-1.22256,-0.79051,-0.10372,1.83546,-1.19685,0.3244,2.7845,-0.35887,-0.21894
"BE-13",-1.1958,-1.04243,2.76021,-1.61598,-3.25581,0.22947,-0.8754,0.75618,-1.59135,-0.39209,1.91896
"BE2-M17",-0.56523,-0.21792,1.27609,0.63261,-1.18455,-3.14932,-0.58025,1.68178,-1.31093,0.5639,-2.08545
"Becker",3.3526,1.85336,-1.85511,-0.52151,0.09519,-0.51841,-0.47878,2.68103,1.41105,1.47478,-1.49616
"BEN",-0.86019,-1.90876,0.78057,1.71242,-0.12219,-1.99356,0.21066,-2.97804,-0.8346,-1.44325,0.57786
"BFTC-905",-0.22165,0.88866,0.64302,1.92055,2.96349,-0.10519,2.2332,0.23456,1.53952,-0.93809,1.83875
"BFTC-909",2.63857,2.50427,0.08993,1.93193,0.39289,0.0875,-2.11645,2.69122,1.18422,2.82049,0.16918
"BHT-101",0.55504,0.64134,0.65621,0.62521,1.0843,0.949,0.73743,-0.5555,2.57009,-0.26179,0.23755
"BHY",0.50348,2.71669,-2.38203,0.28018,3.33037,2.20709,1.98164,0.8982,2.4879,-3.06162,-2.43549
"BICR10",2.47026,1.73745,-3.92158,0.43663,2.7627,-0.30619,-0.26871,0.21674,0.3946,0.73853,-2.18579
"BICR22",-1.04335,1.56402,0.09082,0.0829,1.88705,1.9729,1.12414,-1.22203,2.25101,-2.78416,-1.14568
"BICR31",2.24552,2.18667,-0.17274,-0.79339,2.1567,1.64981,2.14102,-0.48892,3.47291,-1.42719,-1.0067
"BICR78",-0.3821,-1.38164,1.05896,0.57244,2.59463,1.12806,4.84787,0.72547,0.31429,-0.53817,-0.58088
"BL-41",-0.64981,1.48615,1.93829,-2.49509,-2.71696,0.8363,-2.46608,-1.17469,0.33441,-0.25608,0.6491
